bmk_name "execution time" "L1D reads" "L1D writes" "L1D total accesses" "L1D miss rate" "L1I reads" "L1I miss rate" "L2 reads" "L2 writes" "L2 total accesses" "L2 miss rate" "main memory accesses" sim_ticks dcache.ReadReq_accesses::total dcache.ReadReq_misses::total dcache.WriteReq_accesses::total dcache.overall_accesses::total dcache.overall_miss_rate::total icache.ReadReq_accesses::total icache.overall_miss_rate::total l2cache.ReadExReq_accesses::total l2cache.ReadCleanReq_accesses::total l2cache.ReadSharedReq_accesses::total l2cache.WritebackClean_accesses::total l2cache.WritebackDirty_accesses::total l2cache.overall_accesses::total l2cache.overall_miss_rate::total mem_ctrl.num_reads::total
stats_3mm_ref 45262782880 13379333 7055626 20391000 0.002473 33308460 0.00163 98680 94860 98680 0.03864 6723 45262782880 13379333 43959 7011667 20391000 0.002473 33308460 0.00163 3109 52883 42688 55296 39564 98680 0.03864 6723
stats_adi_ref 229113772580 27481479 21243333 48063003 0.021489 171580586 0.000297 888088 882011 888088 0.006986 7821 229113772580 27481479 661809 20581524 48063003 0.021489 171580586 0.000297 183601 49155 655332 45271 836740 888088 0.006986 7821
stats_atax_ref 5471828488 853142 591075 1441643 0.004774 4021308 0.000803 6919 5789 6919 0.152334 2917 5471828488 853142 2574 588501 1441643 0.004774 4021308 0.000803 2052 2719 2148 2318 3471 6919 0.152334 2917
stats_bicg_ref 5605103728 864624 628349 1490741 0.004254 4098851 0.000902 7531 6475 7531 0.133183 2885 5605103728 864624 2232 626117 1490741 0.004254 4098851 0.000902 1951 3524 2056 3078 3397 7531 0.133183 2885
stats_cholesky_ref 119287876708 44150938 23036974 66935178 0.004013 90401415 0.000877 337305 336070 337305 0.003658 4817 119287876708 44150938 252734 22784240 66935178 0.004013 90401415 0.000877 5756 79104 252445 79069 257001 337305 0.003658 4817
stats_correlation_ref 39638670568 10808083 6743909 17515393 0.002609 28692602 0.00266 115964 102046 115964 0.120486 15763 39638670568 10808083 36599 6707310 17515393 0.002609 28692602 0.00266 4371 76146 35447 63126 38920 115964 0.120486 15763
stats_deriche_ref 38405694432 13081417 8604898 21571613 0.008031 28986979 0.005121 266948 265640 266948 0.00593 7430 38405694432 13081417 114702 8490196 21571613 0.008031 28986979 0.005121 57278 148241 61429 148423 117217 266948 0.00593 7430
stats_doitgen_ref 45617421444 15165302 9331627 24491877 0.000415 33991761 0.002868 104304 103172 104304 0.01 3044 45617421444 15165302 5052 9326575 24491877 0.000415 33991761 0.002868 2203 97367 4734 97338 5834 104304 0.01 3044
stats_durbin_ref 1155400036 279555 208840 488085 0.001461 832055 0.002327 2099 1375 2099 0.409242 934 1155400036 279555 310 208530 488085 0.001461 832055 0.002327 115 1809 175 1362 13 2099 0.409242 934
stats_fdtd-2d_ref 87869355336 23418869 14489299 37722584 0.005295 64284429 0.002947 369749 346198 369749 0.063627 25344 87869355336 23418869 185584 14303715 37722584 0.005295 64284429 0.002947 6376 189138 174235 167978 178220 369749 0.063627 25344
stats_floyd-warshall_ref 138528434548 106857614 17325860 123816542 0.002985 99313285 0.001311 498726 497757 498726 0.001486 2772 138528434548 106857614 366932 16958928 123816542 0.002985 99313285 0.001311 2171 130111 366444 130156 367601 498726 0.001486 2772
stats_gemm_ref 38458475216 10981608 7049769 17977193 0.003706 27954318 0.001407 90762 81288 90762 0.103865 11255 38458475216 10981608 54184 6995585 17977193 0.003706 27954318 0.001407 6133 39100 45529 38797 42491 90762 0.103865 11255
stats_gemver_ref 7556856048 1368465 974602 2337227 0.004342 5674628 0.000531 10602 9586 10602 0.101207 2985 7556856048 1368465 5840 968762 2337227 0.004342 5674628 0.000531 2070 2861 5671 2457 7129 10602 0.101207 2985
stats_gesummv_ref 5306259980 589512 456749 1043392 0.007252 3965121 0.000455 6608 5597 6608 0.144068 3037 5306259980 589512 2869 453880 1043392 0.007252 3965121 0.000455 2267 1643 2698 1245 4352 6608 0.144068 3037
stats_gramschmidt_ref 42851233600 12954282 7840335 20756791 0.003245 31285932 0.003247 151647 141675 151647 0.065725 12040 42851233600 12954282 37826 7802509 20756791 0.003245 31285932 0.003247 14635 101413 35599 114894 26781 151647 0.065725 12040
stats_heat-3d_ref 178572845612 52667953 27383163 79963114 0.002915 132929616 0.000958 285530 284314 285530 0.004066 3169 178572845612 52667953 88002 27295161 79963114 0.002915 132929616 0.000958 73290 127229 85011 127086 157228 285530 0.004066 3169
stats_jacobi-1d_ref 1024767072 243785 166521 410009 0.001637 726415 0.003928 3006 2170 3006 0.324019 1035 1024767072 243785 297 166224 410009 0.001637 726415 0.003928 106 2724 176 2157 13 3006 0.324019 1035
stats_jacobi-2d_ref 115105567444 27659280 15663164 43226961 0.006188 87186679 0.001509 307762 304291 307762 0.011103 5448 115105567444 27659280 95483 15567681 43226961 0.006188 87186679 0.001509 85834 131450 90478 131312 172979 307762 0.011103 5448
stats_ludcmp_ref 128113034280 44029485 23829273 67577092 0.004422 97339308 2.2e-05 289186 288186 289186 0.003468 4649 128113034280 44029485 281666 23547607 67577092 0.004422 97339308 2.2e-05 6441 2023 280722 1647 286539 289186 0.003468 4649
stats_lu_ref 143290168140 52951057 28093295 80763145 0.003685 107739779 0.000675 359018 357907 359018 0.003008 4669 143290168140 52951057 281207 27812088 80763145 0.003685 107739779 0.000675 5864 72522 280632 72429 285478 359018 0.003008 4669
stats_mvt_ref 5362106204 924660 646005 1566635 0.005143 4007951 0.000897 9240 8218 9240 0.106169 2891 5362106204 924660 4030 641975 1566635 0.005143 4007951 0.000897 1952 3438 3850 3029 5189 9240 0.106169 2891
stats_nussinov_ref 29958919256 20793744 4750438 25486861 0.00235 21809083 0.003019 124819 123841 124819 0.006201 2801 29958919256 20793744 57321 4693117 25486861 0.00235 21809083 0.003019 2112 65725 56982 65514 58327 124819 0.006201 2801
stats_seidel-2d_ref 278241632620 41759456 23942767 65627513 0.001208 211879757 0.000457 173032 171965 173032 0.005687 2782 278241632620 41759456 74710 23868057 65627513 0.001208 211879757 0.000457 2039 96574 74419 96341 75624 173032 0.005687 2782
stats_symm_ref 30822860684 8480672 5957573 14409202 0.002279 22377052 0.00283 93680 83049 93680 0.112842 12293 30822860684 8480672 29043 5928530 14409202 0.002279 22377052 0.00283 1766 63159 28755 53315 29734 93680 0.112842 12293
stats_syr2k_ref 45307625412 11181006 7735113 18867945 0.002801 34060668 0.001569 103259 102148 103259 0.010362 3131 45307625412 11181006 48174 7686939 18867945 0.002801 34060668 0.001569 2197 53295 47767 53189 48959 103259 0.010362 3131
stats_syrk_ref 27214843516 8227236 5489807 13712190 0.000585 19986826 0.004736 99560 97621 99560 0.018833 3325 27214843516 8227236 4853 5484954 13712190 0.000585 19986826 0.004736 1495 93425 4640 92247 5374 99560 0.018833 3325
